"","generation","DFE","selfing","value","sd","replicate","selfing_class","scale"
"213","f3","DFE3","Adjusted DFE",0.511503910459632,0.00682061426547011,NA,"95% Selfing",50
"214","f3","DFE1","Adjusted DFE",-2.22044604925031e-17,3.04047097224406e-17,NA,"99% Selfing",50
"215","f3","DFE2","Adjusted DFE",0.000434055050916982,0.000453232859463331,NA,"99% Selfing",50
"216","f3","DFE3","Adjusted DFE",0.34783877516475,0.0173132000219888,NA,"99% Selfing",50
"217","f0","DFE1","GRAPES",0.247641685424454,0.014712348089948,NA,"0% Selfing",50
"218","f0","DFE2","GRAPES",0.114578206661997,0.00836512852763345,NA,"0% Selfing",50
"219","f0","DFE3","GRAPES",0.0987059661997158,0.00728006778001489,NA,"0% Selfing",50
"220","f0","DFE1","GRAPES",0.230787951937195,0.0379390137769575,NA,"50% Selfing",50
"221","f0","DFE2","GRAPES",0.114326938192161,0.00699206724102775,NA,"50% Selfing",50
"222","f0","DFE3","GRAPES",0.103390443848568,0.00982223108941071,NA,"50% Selfing",50
"223","f0","DFE1","GRAPES",0.238950892150112,0.0473615531424982,NA,"80% Selfing",50
"224","f0","DFE2","GRAPES",0.121633910700566,0.010391604525702,NA,"80% Selfing",50
"225","f0","DFE3","GRAPES",0.105140963035956,0.00468972627697127,NA,"80% Selfing",50
"226","f0","DFE1","GRAPES",0.279897723420801,0.0214171957786902,NA,"90% Selfing",50
"227","f0","DFE2","GRAPES",0.137485914914178,0.0239311752926199,NA,"90% Selfing",50
"228","f0","DFE3","GRAPES",0.11865208214795,0.00533565898815988,NA,"90% Selfing",50
"229","f0","DFE1","GRAPES",0.284732457986973,0.043429026510341,NA,"95% Selfing",50
"230","f0","DFE2","GRAPES",0.176502863295099,0.0198963270197311,NA,"95% Selfing",50
"231","f0","DFE3","GRAPES",0.125366696001176,0.012261726260499,NA,"95% Selfing",50
"232","f0","DFE1","GRAPES",0.539095849983339,0.106498332553297,NA,"99% Selfing",50
"233","f0","DFE2","GRAPES",0.418749840437172,0.080022468260539,NA,"99% Selfing",50
"234","f0","DFE3","GRAPES",0.235256817868738,0.100575910105812,NA,"99% Selfing",50
"235","f1","DFE1","GRAPES",0.581650746901742,0.0496590359498848,NA,"0% Selfing",50
"236","f1","DFE2","GRAPES",0.237728788122203,0.0117989777016573,NA,"0% Selfing",50
"237","f1","DFE3","GRAPES",0.107400586033566,0.00123224196853165,NA,"0% Selfing",50
"238","f1","DFE1","GRAPES",0.628831397153421,0.0838783628331833,NA,"50% Selfing",50
"239","f1","DFE2","GRAPES",0.241435649329488,0.00640784513713683,NA,"50% Selfing",50
"240","f1","DFE3","GRAPES",0.106460692172003,0.00636360776867059,NA,"50% Selfing",50
"241","f1","DFE1","GRAPES",0.605137080708616,0.101640081223692,NA,"80% Selfing",50
"242","f1","DFE2","GRAPES",0.239882086856079,0.0158396610498495,NA,"80% Selfing",50
"243","f1","DFE3","GRAPES",0.111204475421066,0.00330856454350709,NA,"80% Selfing",50
"244","f1","DFE1","GRAPES",0.551922802183002,0.0283209288757092,NA,"90% Selfing",50
"245","f1","DFE2","GRAPES",0.241196401668244,0.0184108665738921,NA,"90% Selfing",50
"246","f1","DFE3","GRAPES",0.116162846506549,0.00517813798313442,NA,"90% Selfing",50
"247","f1","DFE1","GRAPES",0.567682393840517,0.0701283420078772,NA,"95% Selfing",50
"248","f1","DFE2","GRAPES",0.25097031922861,0.0125489670906222,NA,"95% Selfing",50
"249","f1","DFE3","GRAPES",0.126446185520662,0.00534786635080642,NA,"95% Selfing",50
"250","f1","DFE1","GRAPES",0.417120628886372,0.110933215479575,NA,"99% Selfing",50
"251","f1","DFE2","GRAPES",0.285921910902783,0.0945685748005661,NA,"99% Selfing",50
"252","f1","DFE3","GRAPES",0.134228658749591,0.0166386132091374,NA,"99% Selfing",50
"253","f2","DFE1","GRAPES",0.170698342484672,0.0438835743254403,NA,"0% Selfing",50
"254","f2","DFE2","GRAPES",0.499204947242254,0.0251038861904638,NA,"0% Selfing",50
"255","f2","DFE3","GRAPES",0.220439161739058,0.00899549426185135,NA,"0% Selfing",50
"256","f2","DFE1","GRAPES",0.140378551278337,0.0489540344189792,NA,"50% Selfing",50
"257","f2","DFE2","GRAPES",0.504448528495375,0.0159308341093498,NA,"50% Selfing",50
"258","f2","DFE3","GRAPES",0.213852249855896,0.0264499708179384,NA,"50% Selfing",50
"259","f2","DFE1","GRAPES",0.15588544778095,0.0578153751207247,NA,"80% Selfing",50
"260","f2","DFE2","GRAPES",0.490473263866083,0.030625407017105,NA,"80% Selfing",50
"261","f2","DFE3","GRAPES",0.22445660534468,0.0107194977180824,NA,"80% Selfing",50
"262","f2","DFE1","GRAPES",0.168170212036328,0.0339595619111771,NA,"90% Selfing",50
"263","f2","DFE2","GRAPES",0.472202904818916,0.0500054303178365,NA,"90% Selfing",50
"264","f2","DFE3","GRAPES",0.225333556926141,0.00935186818647832,NA,"90% Selfing",50
"265","f2","DFE1","GRAPES",0.147578268098651,0.0305190773744062,NA,"95% Selfing",50
"266","f2","DFE2","GRAPES",0.439678130653956,0.0269898404812932,NA,"95% Selfing",50
"267","f2","DFE3","GRAPES",0.247935233322197,0.0209697726811414,NA,"95% Selfing",50
"268","f2","DFE1","GRAPES",0.0437834422279651,0.0183247246494613,NA,"99% Selfing",50
"269","f2","DFE2","GRAPES",0.258460742568187,0.0292170125534696,NA,"99% Selfing",50
"270","f2","DFE3","GRAPES",0.218252753219775,0.0501111438266695,NA,"99% Selfing",50
"271","f3","DFE1","GRAPES",9.22518913173964e-06,1.28415859365299e-05,NA,"0% Selfing",50
"272","f3","DFE2","GRAPES",0.148488057973546,0.0294955110947102,NA,"0% Selfing",50
"273","f3","DFE3","GRAPES",0.57345428602766,0.00496998606479753,NA,"0% Selfing",50
"274","f3","DFE1","GRAPES",2.09963104608191e-06,3.47222042666745e-06,NA,"50% Selfing",50
"275","f3","DFE2","GRAPES",0.139788883982975,0.0157264005765578,NA,"50% Selfing",50
"276","f3","DFE3","GRAPES",0.576296614123532,0.0252665002372185,NA,"50% Selfing",50
"277","f3","DFE1","GRAPES",2.65793603214937e-05,4.9177402944279e-05,NA,"80% Selfing",50
"278","f3","DFE2","GRAPES",0.148010738577272,0.0376065116284264,NA,"80% Selfing",50
"279","f3","DFE3","GRAPES",0.559197956198298,0.0125498114199438,NA,"80% Selfing",50
"280","f3","DFE1","GRAPES",9.2623598688335e-06,1.77184192115646e-05,NA,"90% Selfing",50
"281","f3","DFE2","GRAPES",0.149114778598662,0.0461670195163658,NA,"90% Selfing",50
"282","f3","DFE3","GRAPES",0.53985151441936,0.0198227431891595,NA,"90% Selfing",50
"283","f3","DFE1","GRAPES",6.88007385951095e-06,1.29235051465854e-05,NA,"95% Selfing",50
"284","f3","DFE2","GRAPES",0.132848686822335,0.0235554186869501,NA,"95% Selfing",50
"285","f3","DFE3","GRAPES",0.500251885155966,0.0192833687809447,NA,"95% Selfing",50
"286","f3","DFE1","GRAPES",7.89023239411435e-08,1.0258637291949e-07,NA,"99% Selfing",50
"287","f3","DFE2","GRAPES",0.0368675060918588,0.0292259842652409,NA,"99% Selfing",50
"288","f3","DFE3","GRAPES",0.412261770161897,0.0502032853839277,NA,"99% Selfing",50
